ipAddress,abuseConfidenceScore,countryCode
13.71.92.229,100,IN
20.189.117.198,100,HK
49.207.244.63,100,IN
144.202.82.88,100,US
35.224.18.204,100,US
103.168.67.107,100,US
185.156.73.233,100,NL
109.244.96.105,100,CN
154.83.197.157,100,US
79.124.49.134,100,BG
125.138.175.113,100,KR
178.251.140.3,100,RU
221.226.232.41,100,CN
213.209.159.56,100,DE
45.153.34.32,100,NL
223.247.153.211,100,CN
221.165.6.102,100,KR
103.213.238.91,100,BD
182.93.7.194,100,MO
195.201.22.39,100,DE
85.198.11.176,100,IR
115.178.75.243,100,KR
65.181.127.40,100,US
64.62.156.10,100,US
80.94.92.187,100,RO
91.191.209.74,100,BG
147.182.183.153,100,US
20.221.57.26,100,US
52.165.192.98,100,US
172.171.3.138,100,US
14.194.98.249,100,IN
142.4.9.16,100,US
152.32.192.176,100,HK
23.137.105.214,100,US
43.165.3.187,100,DE
176.65.139.254,100,NL
121.123.141.251,100,MY
35.185.82.208,100,US
183.56.216.153,100,CN
199.45.155.83,100,HK
109.205.166.59,100,AZ
58.152.42.174,100,HK
81.30.98.44,100,LT
45.156.128.86,100,NL
87.251.64.157,100,PL
177.11.196.79,100,BR
211.20.14.156,100,TW
50.116.72.133,100,US
154.18.197.35,100,PH
43.228.157.10,100,DE
31.173.2.182,100,RU
65.98.127.3,100,GB
152.32.218.244,100,SG
144.22.238.238,100,BR
129.153.145.135,100,US
20.121.46.26,100,US
74.207.252.187,100,US
213.177.179.144,100,NL
34.26.166.196,100,US
27.78.70.85,100,VN
80.94.95.116,100,RO
43.228.157.160,100,DE
39.96.9.43,100,CN
66.132.186.242,100,US
45.148.10.25,100,NL
40.124.171.173,100,US
165.154.10.201,100,NG
46.147.113.91,100,RU
176.65.139.31,100,NL
124.13.124.94,100,MY
150.136.129.10,100,US
154.83.14.94,100,HK
103.248.120.6,100,IN
222.78.22.187,100,CN
79.124.40.110,100,BG
96.47.238.229,100,US
185.239.85.154,100,HK
101.36.127.86,100,HK
35.243.230.5,100,US
51.158.173.124,100,NL
152.42.240.74,100,SG
91.191.209.98,100,BG
20.169.83.197,100,US
66.132.195.67,100,US
192.176.172.166,100,SE
50.6.169.131,100,US
87.17.15.178,100,IT
178.16.55.50,100,NL
121.122.119.11,100,MY
27.150.188.148,100,CN
66.132.172.112,100,US
89.21.67.154,100,NL
102.210.148.92,100,KE
104.194.10.248,100,US
136.248.247.188,100,CL
193.176.31.194,100,NL
89.21.67.143,100,NL
91.124.209.51,100,NL
220.246.79.101,100,HK
80.94.95.115,100,RO
204.76.203.15,100,NL
81.30.98.207,100,LT
54.38.92.202,100,FR
152.42.247.85,100,SG
31.59.89.180,100,IT
81.30.98.90,100,LT
81.30.98.158,100,LT
195.96.139.145,100,GB
66.132.195.17,100,US
91.92.42.243,100,BG
108.179.225.94,100,US
160.30.113.59,100,VN
194.113.39.34,100,PL
104.243.35.104,100,US
37.10.113.221,100,GB
116.59.8.106,100,TW
81.30.98.174,100,LT
189.152.66.94,100,MX
20.65.194.92,100,US
45.148.10.157,100,NL
118.139.164.171,100,SG
124.164.251.88,100,CN
35.227.3.70,100,US
213.209.159.236,100,DE
193.124.20.227,100,DE
106.225.218.43,100,CN
